epoch,loss,BinaryAccuracy,MSE,Val_loss,Val_BinaryAccuracy,Val_MSE
36,0.08716398804280602,0.93442625,0.086570576,0.07318273,0.9722222,0.07258024
37,0.08521664420478657,0.93442625,0.0846071,0.071067974,0.9722222,0.07045077
38,0.08382620233431702,0.93442625,0.08320203,0.069608174,0.9722222,0.06897733
39,0.0824857399966873,0.93442625,0.081847385,0.067858234,0.9722222,0.06721453
40,0.08134094162340291,0.93442625,0.08068941,0.066581786,0.9722222,0.065926164
41,0.08016119544684398,0.93442625,0.07949951,0.065643996,0.9722222,0.064977236
42,0.07910538931972667,0.93442625,0.07843307,0.06435075,0.9722222,0.06367344
43,0.07825563188459052,0.93442625,0.07757232,0.06409266,0.9722222,0.06340548
44,0.07760358325465293,0.93442625,0.07691272,0.062075872,0.9722222,0.061378896
45,0.0768525607303762,0.93442625,0.076150924,0.061277583,0.9722222,0.060571898
46,0.07595277162360363,0.93442625,0.07524204,0.06133734,0.9722222,0.060623974
47,0.07546474168565674,0.93442625,0.074746445,0.060850844,0.9722222,0.06012983
48,0.07504400450614143,0.93442625,0.07431943,0.059975166,0.9722222,0.059246905
49,0.07463906381706722,0.93442625,0.07390737,0.058996778,0.9722222,0.058261666
50,0.07405196166917925,0.93442625,0.07331326,0.05879017,0.9722222,0.05804911
51,0.0738372502115662,0.93442625,0.073094785,0.057550386,0.9722222,0.056802858
52,0.07312779734674536,0.93442625,0.07237779,0.058111228,0.9722222,0.057358727
53,0.07300195384953843,0.93442625,0.07224845,0.057224374,0.9722222,0.056466397
54,0.07246857125800653,0.93442625,0.07170707,0.057019603,0.9722222,0.056257002
55,0.07227195266512085,0.93442625,0.071507044,0.056217667,0.9722222,0.05545057
56,0.07190711190160669,0.93442625,0.071138255,0.056215107,0.9722222,0.055444002
57,0.07172267361864691,0.93442625,0.07095071,0.055968255,0.9722222,0.05519333
58,0.07149743566625431,0.93442625,0.0707211,0.055295285,0.9722222,0.054516487
59,0.07128715418950944,0.93442625,0.070505545,0.05494406,0.9722222,0.054161683
60,0.07109221065661213,0.93442625,0.07030986,0.05489147,0.9722222,0.05410581
61,0.07084055646460076,0.93442625,0.07005288,0.055009857,0.9722222,0.05422124
62,0.07055498022952529,0.93442625,0.06976356,0.054569013,0.9722222,0.05377754
63,0.07049498816982644,0.93442625,0.06970106,0.054342784,0.9722222,0.05354867
64,0.07027407657339803,0.93442625,0.06947778,0.054476652,0.9722222,0.05368017
65,0.0701457049056399,0.93442625,0.06934858,0.053715184,0.9722222,0.052915994
66,0.06994857068448404,0.93442625,0.069148116,0.054780222,0.9722222,0.05397976
67,0.06995693186954519,0.93442625,0.06915575,0.05502844,0.9722222,0.054226033
68,0.06990964653458996,0.93442625,0.069107085,0.054155156,0.9722222,0.05335035
69,0.06969165420312373,0.93442625,0.06888638,0.05352458,0.9722222,0.052717336
70,0.0696176031535705,0.93442625,0.06880981,0.053695742,0.9722222,0.052886814
71,0.06950653498595366,0.93442625,0.068697,0.053905666,0.9722222,0.053095102
72,0.06944534260413197,0.93442625,0.068635575,0.053367898,0.9722222,0.05255537
73,0.06925090751992385,0.93442625,0.068437874,0.053294733,0.9722222,0.0524807
74,0.06920754194992487,0.93442625,0.06839257,0.053331938,0.9722222,0.05251673
75,0.06912370456657449,0.93442625,0.0683078,0.053251915,0.9722222,0.052435555
76,0.06896701193658909,0.93442625,0.068148956,0.054168675,0.9722222,0.053351764
77,0.06891126138326086,0.93442625,0.06809289,0.05484031,0.9722222,0.0540227
78,0.06900353629340525,0.93442625,0.068185106,0.055012032,0.9722222,0.05419328
79,0.06888772570146401,0.93442625,0.06806634,0.054169558,0.9722222,0.053349562
80,0.06895405852587008,0.93442625,0.06813521,0.053773336,0.9722222,0.052952033
81,0.06893380909974946,0.93442625,0.06811272,0.053699467,0.9722222,0.052876916
82,0.06876404168175869,0.93442625,0.06794189,0.053209085,0.9722222,0.052385572
83,0.06864516675227979,0.93442625,0.06782197,0.053186852,0.9722222,0.05236271
84,0.06864692250717065,0.93442625,0.06782219,0.053146373,0.9722222,0.052321535
85,0.06868196704776072,0.93442625,0.067856275,0.053634085,0.9722222,0.052808616
86,0.06852030137278994,0.93442625,0.06769253,0.05337909,0.9722222,0.052552957
87,0.0684527600733716,0.93442625,0.06762707,0.052755777,0.9722222,0.05192849
88,0.06848454327307275,0.93442625,0.06765863,0.052283537,0.9722222,0.05145515
89,0.0683372508902408,0.93442625,0.06750819,0.05310325,0.9722222,0.0522748
90,0.06834147746873195,0.93442625,0.067513615,0.052806906,0.9722222,0.0519777
91,0.06842285373293963,0.93442625,0.06759467,0.05245216,0.9722222,0.051622055
92,0.06832685339890543,0.93442625,0.06749668,0.0523742,0.9722222,0.05154374
93,0.06818954882853222,0.93442625,0.06735843,0.05212752,0.9722222,0.0512966
94,0.06828144214070234,0.93442625,0.06744961,0.052670665,0.9722222,0.0518396
95,0.06828320368391569,0.93442625,0.06745101,0.05254861,0.9722222,0.0517171
96,0.06827254953687309,0.93442625,0.06744189,0.05252015,0.9722222,0.051688276
97,0.06822661119589551,0.93442625,0.06739451,0.05249202,0.9722222,0.051659852
98,0.06829791271784266,0.93442625,0.06746613,0.052727044,0.9722222,0.051894534
99,0.06840472343209826,0.93442625,0.06757321,0.052517917,0.9722222,0.051684935
epoch,loss,BinaryAccuracy,MSE,Val_loss,Val_BinaryAccuracy,Val_MSE
0,0.2502784743660786,0.4918033,0.2502494,0.25037995,0.4699074,0.2503512
1,0.24999082454892455,0.4918033,0.24996227,0.25009194,0.4861111,0.2500637
2,0.24964436277991436,0.5,0.24961618,0.24976316,0.48842594,0.24973531
3,0.2492683192745584,0.4918033,0.24924044,0.24940346,0.5,0.24937579
4,0.24891671074218438,0.5081967,0.24888898,0.24899805,0.5092593,0.24897039
5,0.24836847992216954,0.6229508,0.2483407,0.24856384,0.5185185,0.24853595
6,0.2478217243171129,0.5409836,0.24779353,0.24794953,0.5416667,0.24792114
7,0.24715851833585833,0.59836066,0.24712977,0.24720041,0.5717593,0.24717116
8,0.24624940997264425,0.6229508,0.24621958,0.2462644,0.6064815,0.24623393
9,0.24504429248512768,0.59836066,0.24501288,0.2450044,0.662037,0.24497224
10,0.24372487209859442,0.72131145,0.24369156,0.24348114,0.7060185,0.24344665
11,0.2418388289506318,0.8360656,0.24180298,0.2416896,0.712963,0.24165194
12,0.23977304848491168,0.795082,0.23973358,0.23928434,0.7685185,0.23924267
13,0.23715646833669943,0.8442623,0.23711243,0.23641059,0.8078704,0.23636386
14,0.23382991063790243,0.852459,0.2337803,0.23300448,0.8217593,0.23295122
15,0.22999090420418097,0.852459,0.22993393,0.22882359,0.849537,0.22876234
16,0.22526692122709555,0.89344263,0.22520128,0.22368696,0.8912037,0.22361597
17,0.2199624737755197,0.89344263,0.21988569,0.21794334,0.9074074,0.21786062
18,0.21374725074064535,0.89344263,0.21365744,0.2108951,0.9328704,0.21079855
19,0.20685602651267757,0.90983605,0.20675144,0.2032146,0.9490741,0.20310198
20,0.19912489198270392,0.91803277,0.19900347,0.19508097,0.9490741,0.19494997
21,0.191100539242635,0.91803277,0.19096068,0.18614212,0.9537037,0.18599053
22,0.1827232192774288,0.90163934,0.1825611,0.17772637,0.9560185,0.17755242
23,0.17408410020050455,0.92622954,0.17389816,0.16797958,0.9606481,0.16778147
24,0.1657400282680011,0.92622954,0.16552982,0.15940894,0.962963,0.15918556
25,0.15758391347576362,0.93442625,0.15734771,0.15006915,0.962963,0.14981924
26,0.14945821195352274,0.93442625,0.14919406,0.14187849,0.9675926,0.14160174
27,0.14205382550593282,0.92622954,0.14176501,0.134582,0.9722222,0.13427815
28,0.13519060770507718,0.93442625,0.13487493,0.12649372,0.9722222,0.12616235
29,0.1285584079193287,0.93442625,0.12821245,0.1195591,0.9722222,0.11920088
30,0.12276026056926759,0.93442625,0.12238872,0.11268774,0.9722222,0.11230295
31,0.11767801941662538,0.93442625,0.11727998,0.107346,0.9722222,0.10693598
32,0.11287482070629715,0.93442625,0.11245355,0.10198047,0.9722222,0.10154557
33,0.10857801701201768,0.93442625,0.108131796,0.097638,0.9722222,0.097179435
34,0.1047580688581115,0.93442625,0.104289964,0.09300062,0.9722222,0.09251888
35,0.10097427873826417,0.93442625,0.100481726,0.08918542,0.9722222,0.088681966
36,0.09811221915068197,0.93442625,0.09759958,0.08589522,0.9722222,0.0853711
37,0.09501573733496861,0.93442625,0.09448223,0.08250089,0.9722222,0.08195725
38,0.09265821402678724,0.93442625,0.09210535,0.079988904,0.9722222,0.07942701
39,0.09043350547063546,0.93442625,0.089861944,0.07720291,0.9722222,0.076623686
40,0.08853564797671604,0.93442625,0.087946564,0.075047515,0.9722222,0.07445213
41,0.08665831806901537,0.93442625,0.08605489,0.07326898,0.9722222,0.072658405
42,0.0849767952058159,0.93442625,0.08435885,0.07126096,0.9722222,0.07063601
43,0.0835765856089162,0.93442625,0.08294381,0.07041534,0.9722222,0.06977691
44,0.08241378140376239,0.93442625,0.0817699,0.06777215,0.9722222,0.06712057
45,0.08126426402662622,0.93442625,0.080606356,0.06650031,0.9722222,0.06583683
46,0.07997556229228855,0.93442625,0.07930559,0.0661304,0.9722222,0.065456204
47,0.07914468433066714,0.93442625,0.078464225,0.06527524,0.9722222,0.064590596
48,0.07842758105548679,0.93442625,0.07773802,0.06399616,0.9722222,0.06330164
49,0.07772272518362666,0.93442625,0.07702342,0.06266782,0.9722222,0.061963975
50,0.07691187422234015,0.93442625,0.07620331,0.062194414,0.9722222,0.061482307
51,0.07646777164420021,0.93442625,0.07575317,0.06067613,0.9722222,0.059955407
52,0.07555254480083946,0.93442625,0.07482836,0.061037153,0.9722222,0.060309425
53,0.0752607770874852,0.93442625,0.07453117,0.05993071,0.9722222,0.05919562
54,0.07455902126785673,0.93442625,0.07381953,0.059490167,0.9722222,0.05874867
55,0.07421162040507207,0.93442625,0.07346697,0.05850038,0.9722222,0.05775273
56,0.0737064777125345,0.93442625,0.072956264,0.058345355,0.9722222,0.05759215
57,0.07340116006490148,0.93442625,0.072646335,0.057955783,0.9722222,0.057197306
58,0.0730662220081345,0.93442625,0.07230561,0.057147704,0.9722222,0.056384016
59,0.07275975899022745,0.93442625,0.07199265,0.056679312,0.9722222,0.055910785
60,0.07246461431266832,0.93442625,0.07169552,0.05650425,0.9722222,0.05573125
61,0.07212691169354271,0.93442625,0.07135134,0.056524675,0.9722222,0.05574761
62,0.07175965566707194,0.93442625,0.07097929,0.05598467,0.9722222,0.0552037
63,0.07162698026990792,0.93442625,0.070843056,0.055664554,0.9722222,0.054879967
64,0.07134156463454004,0.93442625,0.0705544,0.0557325,0.9722222,0.054944634
65,0.0711437322039035,0.93442625,0.07035479,0.05489005,0.9722222,0.054098625
66,0.07088495501256013,0.93442625,0.07009183,0.05589678,0.9722222,0.05510326
67,0.07084280610481491,0.93442625,0.07004815,0.056087002,0.9722222,0.05529078
68,0.07075037011021718,0.93442625,0.06995364,0.055152036,0.9722222,0.054352704
69,0.07048486173152924,0.93442625,0.06968473,0.05446728,0.9722222,0.053664852
70,0.07036409609126629,0.93442625,0.0695608,0.054591667,0.9722222,0.05378693
71,0.07021176752435868,0.93442625,0.06940608,0.05475596,0.9722222,0.053949
72,0.07011498908558098,0.93442625,0.069308534,0.054172277,0.9722222,0.053362805
73,0.06988295292878738,0.93442625,0.06907267,0.054058712,0.9722222,0.053247206
74,0.06980914781328107,0.93442625,0.06899646,0.054058883,0.9722222,0.05324571
75,0.0696974836717375,0.93442625,0.068883434,0.05395259,0.9722222,0.053137813
76,0.06950764417205556,0.93442625,0.06869096,0.054846298,0.9722222,0.05403053
77,0.06942495398345541,0.93442625,0.068607494,0.055490486,0.9722222,0.054673597
78,0.06949058773576236,0.93442625,0.0686727,0.055639982,0.9722222,0.05482158
79,0.06935462360193984,0.93442625,0.068533465,0.054769706,0.9722222,0.05394971
80,0.06939528005380856,0.93442625,0.06857627,0.054344136,0.9722222,0.053522494
81,0.06935400468465246,0.93442625,0.0685324,0.05424257,0.9722222,0.053419366
82,0.06916439719498158,0.93442625,0.068341464,0.05372743,0.9722222,0.05290297
83,0.06902566349103315,0.93442625,0.06820137,0.053685978,0.9722222,0.052860603
84,0.06900873028703766,0.93442625,0.068182595,0.053626634,0.9722222,0.05280029
85,0.06902823293367859,0.93442625,0.06820091,0.054105293,0.9722222,0.05327808
86,0.06885327050676111,0.93442625,0.06802367,0.053840853,0.9722222,0.05301274
87,0.0687646918975916,0.93442625,0.06793686,0.053187177,0.9722222,0.052357696
88,0.06878338770971434,0.93442625,0.06795518,0.05269393,0.9722222,0.05186314
89,0.06862276103958244,0.93442625,0.06779117,0.05351074,0.9722222,0.0526797
90,0.06861382516742241,0.93442625,0.06778325,0.05319856,0.9722222,0.05236658
91,0.06868330338114842,0.93442625,0.067852214,0.052825555,0.9722222,0.0519925
92,0.0685810958737599,0.93442625,0.067747906,0.052743528,0.9722222,0.051909965
93,0.06843019165594863,0.93442625,0.067595884,0.052487087,0.9722222,0.051652905
94,0.06851218824015289,0.93442625,0.067677006,0.053019773,0.9722222,0.052185304
95,0.06850410950538076,0.93442625,0.06766843,0.052887928,0.9722222,0.052052878
96,0.06848601809107378,0.93442625,0.06765178,0.052854028,0.9722222,0.052018493
97,0.06842907541813176,0.93442625,0.06759322,0.052812792,0.9722222,0.05197684
98,0.06849297914715087,0.93442625,0.06765736,0.05304002,0.9722222,0.052203618
99,0.06859302029899153,0.93442625,0.06775755,0.052817255,0.9722222,0.051980272
